Class,Namespace,Definition
"ArquivoDAO","com::mycompany::delivery::DAO","@author tetzner"
"SQLiteConnection","com::mycompany::delivery::DAO",""
"SQLiteDAO","com::mycompany::delivery::DAO",""
"SQLiteQuery","com::mycompany::delivery::DAO",""
"FormaDescontoTaxaPorBairro","com::mycompany::delivery::formasDesconto",""
"FormaDescontoTaxaPorTipoCliente","com::mycompany::delivery::formasDesconto",""
"FormaDescontoTipoItem","com::mycompany::delivery::formasDesconto",""
"FormaDescontoValorPedido","com::mycompany::delivery::formasDesconto",""
"FormaDescontoCodCupomValorPedido","com::mycompany::delivery::formasDescontoValorPedido","RegistroOperacao cobranca = new RegistroOperacao();

cobranca.registrarCobranca(pedido, new XMLLog());
registrarCobranca() {
pedido.getValorTotalPedido();
obter as informações do registro"
"FormaDescontoTipoClienteValorPedido","com::mycompany::delivery::formasDescontoValorPedido",""
"FormaDescontoTipoItemValorPedido","com::mycompany::delivery::formasDescontoValorPedido",""
"Map<String,Double>","com::mycompany::delivery::formasDescontoValorPedido",""
"FormatJSON","com::mycompany::delivery::format","@author tetzner"
"FormatSQL","com::mycompany::delivery::format","@author tetzner"
"FormatXML","com::mycompany::delivery::format","@author tetzner"
"IFormat","com::mycompany::delivery::format","@author tetzner"
"IFormaDescontoTaxaEntrega","com::mycompany::delivery::interfaces",""
"IFormaDescontoValorPedido","com::mycompany::delivery::interfaces",""
"ILog","com::mycompany::delivery::interfaces",""
"DBLog","com::mycompany::delivery::log",""
"JSONLog","com::mycompany::delivery::log","@author Monteiro"
"XMLLog","com::mycompany::delivery::log",""
"Cliente","com::mycompany::delivery::models",""
"CupomDescontoEntrega","com::mycompany::delivery::models",""
"CupomDescontoValorPedido","com::mycompany::delivery::models",""
"Item","com::mycompany::delivery::models",""
"Pedido","com::mycompany::delivery::models",""
"RegistroOperacao","com::mycompany::delivery::models",""
"ArrayList<Item>","com::mycompany::delivery::models",""
"List<CupomDescontoEntrega>","com::mycompany::delivery::models",""
"List<CupomDescontoValorPedido>","com::mycompany::delivery::models",""
"CalculadoraDeDescontoTaxaEntregaService","com::mycompany::delivery::services",""
"CalculadoraDeDescontoValorPedidoService","com::mycompany::delivery::services",""
"LogService","com::mycompany::delivery::services",""
"PedidoService","com::mycompany::delivery::services","@author tetzner"
"UsuarioLogadoService","com::mycompany::delivery::services",""
"DeliverySystem","com::mycompany::delivery::system",""
"File","java::io",""
"String","java::lang",""
"Double","java::lang",""
"Connection","java::sql",""
"LocalDate","java::time",""
"LocalTime","java::time",""
"ArrayList<E>","java::util",""
"Map<K,V>","java::util",""
"List<E>","java::util",""
"Date","java::util",""
"Random","java::util",""
